Wall time,Step,Value
1678974225.3623703,4,4.463596820831299
1678974231.0120354,14,4.225350856781006
1678974231.5739307,15,4.173911094665527
1678974233.2558799,18,4.157445430755615
1678974233.8182309,19,4.115914344787598
1678974234.3801126,20,4.022913932800293
1678974235.5050218,22,4.064219951629639
1678974237.7480118,26,3.916189670562744
1678974238.3094661,27,3.979614734649658
1678974245.5994265,40,3.8431689739227295
1678974249.5267353,47,3.827456474304199
1678974250.0868566,48,3.8688507080078125
1678974250.6489787,49,3.749232769012451
1678974251.7686203,51,3.793363332748413
1678974253.4517345,54,3.7525908946990967
1678974256.8067327,60,3.684351682662964
1678974257.3682547,61,3.7183339595794678
1678974257.927694,62,3.731250762939453
1678974258.4915853,63,3.632734537124634
1678974260.1725652,66,3.6009256839752197
1678974260.7329187,67,3.6005289554595947
1678974261.2900648,68,3.6462650299072266
1678974262.412306,70,3.585789918899536
1678974262.975066,71,3.559943914413452
1678974266.342828,77,3.5601165294647217
1678974269.383906,82,3.5545175075531006
1678974273.6006153,89,3.458923578262329
1678974293.3845654,99,3.3693461418151855
1678974295.7611246,103,3.360189437866211
1678974297.6101818,106,3.3803322315216064
1678974298.2064219,107,3.3906211853027344
1678974299.3557348,109,3.3054885864257812
1678974303.6747687,116,3.312570571899414
1678974306.5119953,121,3.175215482711792
1678974308.759429,125,3.252639055252075
1678974309.324732,126,3.192051410675049
1678974310.4457507,128,3.200460195541382
1678974311.5709107,130,3.232961416244507
1678974314.9491584,136,3.2707903385162354
1678974315.5106692,137,3.1241695880889893
1678974319.4323967,144,3.221691370010376
1678974320.5524192,146,3.1391289234161377
1678974321.1127155,147,3.1576826572418213
1678974322.7989376,150,3.062074661254883
1678974326.7261817,157,2.986168384552002
1678974328.4105177,160,3.0633561611175537
1678974329.5330312,162,3.218456983566284
1678974330.6519065,164,3.125188112258911
1678974334.0203378,170,3.0432331562042236
1678974334.5811687,171,3.043205499649048
1678974335.1412053,172,3.003582000732422
1678974337.945263,177,3.044523239135742
1678974341.874399,184,2.981365203857422
1678974342.4359522,185,2.9341893196105957
1678974342.9994938,186,3.0613794326782227
1678974345.2538228,190,2.9639346599578857
1678974345.8143656,191,2.928534507751465
1678974346.3750405,192,2.977708101272583
1678974362.9143665,199,2.8657829761505127
1678974364.5975986,202,2.888503313064575
1678974365.1665235,203,2.7128865718841553
1678974365.7271981,204,2.841409921646118
1678974366.2895594,205,2.8256876468658447
1678974367.409537,207,2.800734519958496
1678974369.658232,211,2.959376573562622
1678974370.7807133,213,2.907569169998169
1678974371.9039288,215,2.845029354095459
1678974374.1551425,219,2.8828771114349365
1678974374.7133906,220,2.7950875759124756
1678974375.274723,221,2.8451244831085205
1678974376.9590666,224,2.755380630493164
1678974379.7647862,229,2.768883228302002
1678974385.3700423,239,2.834726333618164
1678974388.4709132,244,2.6842122077941895
1678974389.1187043,245,2.761215925216675
1678974389.758163,246,2.689098834991455
1678974396.842588,258,2.669651508331299
1678974397.4040287,259,2.597797155380249
1678974397.963825,260,2.5747809410095215
1678974404.1417637,271,2.632493257522583
1678974405.8200784,274,2.542107582092285
1678974406.9448225,276,2.6117897033691406
1678974408.070501,278,2.6231064796447754
1678974410.313548,282,2.6336669921875
1678974412.074451,285,2.5591094493865967
1678974413.959601,288,2.5278093814849854
1678974415.0849628,290,2.5777907371520996
1678974430.4897656,295,2.519385576248169
1678974431.612588,297,2.4310357570648193
1678974432.1740673,298,2.513061761856079
1678974436.6613994,306,2.4495630264282227
1678974437.7825935,308,2.3648366928100586
1678974440.0252237,312,2.453702211380005
1678974442.2623827,316,2.4389123916625977
1678974443.3801186,318,2.363676071166992
1678974443.9398062,319,2.460841655731201
1678974445.620506,322,2.4291725158691406
1678974454.0291657,337,2.4229941368103027
1678974454.5890355,338,2.422700881958008
1678974457.5253537,343,2.416252613067627
1678974458.765087,345,2.343590497970581
1678974459.3675454,346,2.3493964672088623
1678974462.9939568,352,2.4258878231048584
1678974464.2346582,354,2.2274320125579834
1678974466.476908,358,2.454071044921875
1678974468.7136343,362,2.5096359252929688
1678974469.2767746,363,2.4388480186462402
1678974469.838764,364,2.3581316471099854
1678974470.398169,365,2.3783020973205566
1678974470.9600525,366,2.339296817779541
1678974471.52152,367,2.496180534362793
1678974477.6841955,378,2.4156651496887207
1678974482.1673837,386,2.2553679943084717
1678974484.4080238,390,2.347271680831909
1678974498.1143029,392,2.1963891983032227
1678974499.2377794,394,2.136782169342041
1678974500.9156265,397,2.144047498703003
1678974503.7230885,402,2.218881130218506
1678974504.844858,404,2.187131643295288
1678974507.6501684,409,2.33215069770813
1678974510.4548733,414,2.1864938735961914
1678974511.0164266,415,2.1561145782470703
1678974514.379787,421,2.2240304946899414
1678974514.9401557,422,2.2027111053466797
1678974517.1841261,426,2.2866299152374268
1678974519.4246151,430,2.078917980194092
